#{"t_start": 1777074974.9201233, "env_id": "None"}
r,l,t
178.0,133,1071.273245
268.0,233,1073.494493
164.0,108,1074.648712
239.0,178,1092.325428
255.0,191,1093.838817
138.0,130,1094.842835
191.0,123,1095.838305
162.0,123,1096.780782
148.0,105,1097.570577
45.0,35,1097.835623
386.0,263,1099.928579
246.0,175,1101.413464
165.0,100,1102.263656
186.0,137,1103.386687
92.0,58,1103.842046
294.0,183,1105.262577
311.0,229,1107.012457
262.0,194,1124.023544
386.0,225,1126.061269
333.0,231,1128.062898
132.0,114,1129.201036
146.0,85,1130.061907
101.0,73,1130.727774
291.0,218,1132.490884
308.0,243,1134.303704
358.0,229,1135.941152
174.0,123,1136.899435
324.0,210,1138.483595
315.0,206,1139.992506
347.0,252,1157.225733
23.0,26,1157.429573
405.0,338,1159.994923
66.0,46,1160.508007
279.0,224,1162.307733
264.0,180,1163.822872
153.0,81,1164.470887
135.0,117,1165.405283
286.0,203,1167.18712
554.0,403,1170.476698
292.0,218,1172.310631
141.0,88,1185.044492
227.0,147,1185.440119
214.0,184,1186.247857
165.0,113,1187.034427
26.0,22,1187.154202
218.0,174,1188.403452
218.0,169,1189.650433
359.0,214,1191.316665
237.0,152,1192.582074
296.0,198,1194.232869
34.0,34,1194.53962
269.0,214,1196.327135
134.0,126,1197.327291
109.0,70,1197.892406
194.0,148,1199.107072
139.0,107,1210.802159
164.0,102,1211.462
257.0,207,1212.745845
244.0,173,1213.866069
390.0,246,1215.992179
281.0,187,1217.585515
323.0,169,1219.008927
219.0,157,1220.263252
327.0,262,1222.424914
254.0,177,1224.151915
254.0,173,1225.644394
